stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,4,4,1,501,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.985034,-0.014966,0.999557,12.295506,0.600121,1,FIT_QUALITY,41.965115,6.678591,
gain,calibration,4,4,2,502,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.010256,0.010256,0.999871,9.583366,0.402450,1,FIT_QUALITY,41.609310,6.619487,
gain,calibration,4,4,3,503,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.014822,0.014822,0.999865,7.957127,0.508746,1,FIT_QUALITY,41.386799,6.582525,
gain,calibration,4,4,4,504,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.972336,-0.027664,0.999052,17.608658,0.427594,1,FIT_QUALITY,41.648422,6.625984,
gain,calibration,4,4,5,505,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.987449,-0.012551,0.999529,13.482632,0.487631,1,FIT_QUALITY,41.460880,6.594831,
gain,calibration,4,4,6,506,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.964575,-0.035425,0.999026,18.942486,0.489697,1,FIT_QUALITY,41.307632,6.569375,
gain,calibration,4,4,7,507,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.975976,-0.024024,0.999264,16.533972,0.405745,1,FIT_QUALITY,41.453560,6.593615,
gain,calibration,4,4,8,508,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.006947,0.006947,0.999825,8.333186,0.467720,1,FIT_QUALITY,42.192020,6.716283,
gain,calibration,4,4,9,509,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.986855,-0.013145,0.999453,14.143552,0.562177,1,FIT_QUALITY,41.819817,6.654455,
gain,calibration,4,4,10,510,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.970901,-0.029099,0.999016,17.489500,0.472161,1,FIT_QUALITY,42.340294,6.740913,
gain,calibration,4,4,11,511,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.011028,0.011028,0.999885,8.946407,0.443069,1,FIT_QUALITY,42.026100,6.688721,
gain,calibration,4,4,12,512,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.946364,-0.053636,0.998346,22.935440,0.504571,1,FIT_QUALITY,41.613293,6.620149,
gain,calibration,4,4,13,513,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.006145,0.006145,0.999852,7.661081,0.445614,1,FIT_QUALITY,42.433830,6.756451,
gain,calibration,4,4,14,514,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.000686,0.000686,0.999765,9.440886,0.479961,1,FIT_QUALITY,41.462509,6.595101,
gain,calibration,4,4,15,515,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.976882,-0.023118,0.999288,16.340885,0.470726,1,FIT_QUALITY,42.256397,6.726976,
gain,calibration,4,4,16,516,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.941502,-0.058498,0.998158,23.392269,0.454386,1,FIT_QUALITY,41.631638,6.623196,
gain,calibration,4,4,17,517,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.012663,0.012663,0.999847,7.247231,0.376592,1,FIT_QUALITY,42.061378,6.694582,
gain,calibration,4,4,18,518,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.964816,-0.035184,0.998945,18.001080,0.455207,1,FIT_QUALITY,41.756191,6.643886,
gain,calibration,4,4,19,519,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.011361,0.011361,0.999826,7.663652,0.538597,1,FIT_QUALITY,41.871288,6.663005,
gain,calibration,4,4,20,520,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.975788,-0.024212,0.999451,16.985460,0.476346,1,FIT_QUALITY,41.605431,6.618843,
gain,calibration,4,4,21,521,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.005773,0.005773,0.999881,10.117649,0.500927,1,NONE,41.032108,6.523606,
gain,calibration,4,4,22,522,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.003864,0.003864,0.999763,8.883634,0.228170,1,FIT_QUALITY,41.581898,6.614933,
gain,calibration,4,4,23,523,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.986288,-0.013712,0.999528,13.467433,0.506959,1,FIT_QUALITY,41.517883,6.604300,
gain,calibration,4,4,24,524,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,0.974005,-0.025995,0.999350,14.606601,0.496733,1,FIT_QUALITY,41.841965,6.658134,
gain,calibration,4,4,25,525,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.005889,0.005889,0.999824,7.947635,0.405273,1,FIT_QUALITY,41.790054,6.649511,
gain,calibration,4,4,26,526,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.007184,nan,1.000000,1.006437,0.006437,0.999844,7.397721,0.421869,1,FIT_QUALITY,42.022003,6.688041,
