sample_index,adc_code,ifc_vpp,sweep_index
552,239,2.04,1
553,-103,2.04,1
554,116,2.04,1
555,59,2.04,1
556,36,2.04,1
557,-43,2.04,1
558,109,2.04,1
559,-88,2.04,1
560,25,2.04,1
561,-136,2.04,1
562,146,2.04,1
563,-52,2.04,1
564,112,2.04,1
565,27,2.04,1
566,202,2.04,1
567,-93,2.04,1
568,106,2.04,1
569,-87,2.04,1
570,155,2.04,1
571,-52,2.04,1
572,105,2.04,1
573,-187,2.04,1
574,171,2.04,1
575,-107,2.04,1
576,85,2.04,1
577,-121,2.04,1
578,339,2.04,1
579,-95,2.04,1
580,223,2.04,1
581,-41,2.04,1
582,157,2.04,1
583,-198,2.04,1
584,38,2.04,1
585,-70,2.04,1
586,126,2.04,1
587,-98,2.04,1
588,9,2.04,1
589,-215,2.04,1
590,138,2.04,1
591,-112,2.04,1
592,197,2.04,1
593,-44,2.04,1
594,48,2.04,1
595,-101,2.04,1
596,175,2.04,1
597,-101,2.04,1
598,125,2.04,1
599,-145,2.04,1
600,109,2.04,1
601,-790,2.04,1
602,202,2.04,1
603,-99,2.04,1
604,113,2.04,1
605,-109,2.04,1
606,188,2.04,1
607,87,2.04,1
608,263,2.04,1
609,-106,2.04,1
610,23,2.04,1
611,-138,2.04,1
612,78,2.04,1
613,-167,2.04,1
614,244,2.04,1
615,-265,2.04,1
616,160,2.04,1
617,-105,2.04,1
618,201,2.04,1
619,-62,2.04,1
620,215,2.04,1
621,94,2.04,1
622,189,2.04,1
623,-81,2.04,1
624,103,2.04,1
625,-158,2.04,1
626,137,2.04,1
627,-117,2.04,1
628,173,2.04,1
629,5,2.04,1
630,134,2.04,1
631,-39,2.04,1
632,193,2.04,1
633,-11,2.04,1
634,98,2.04,1
635,-133,2.04,1
636,231,2.04,1
637,-178,2.04,1
638,50,2.04,1
639,-150,2.04,1
640,230,2.04,1
641,-172,2.04,1
642,231,2.04,1
643,-76,2.04,1
644,870,2.04,1
645,-55,2.04,1
646,181,2.04,1
647,-79,2.04,1
648,119,2.04,1
649,-95,2.04,1
650,-16,2.04,1
651,-42,2.04,1
652,23,2.04,1
653,-144,2.04,1
654,211,2.04,1
655,-82,2.04,1
656,151,2.04,1
657,-69,2.04,1
658,183,2.04,1
659,40,2.04,1
660,70,2.04,1
661,-150,2.04,1
662,101,2.04,1
663,-109,2.04,1
664,143,2.04,1
665,-131,2.04,1
666,90,2.04,1
667,-161,2.04,1
668,211,2.04,1
669,-98,2.04,1
670,201,2.04,1
671,-3,2.04,1
672,160,2.04,1
673,-77,2.04,1
674,57,2.04,1
675,-87,2.04,1
676,93,2.04,1
677,-204,2.04,1
678,113,2.04,1
679,-174,2.04,1
680,144,2.04,1
681,-90,2.04,1
682,132,2.04,1
683,-40,2.04,1
684,258,2.04,1
685,-8,2.04,1
686,165,2.04,1
687,-37,2.04,1
688,115,2.04,1
689,-66,2.04,1
690,84,2.04,1
691,-153,2.04,1
692,303,2.04,1
693,-184,2.04,1
694,44,2.04,1
695,-23,2.04,1
696,233,2.04,1
697,-15,2.04,1
698,162,2.04,1
699,-62,2.04,1
700,2,2.04,1
701,-121,2.04,1
702,88,2.04,1
703,-134,2.04,1
704,124,2.04,1
705,-87,2.04,1
706,182,2.04,1
707,-101,2.04,1
708,196,2.04,1
709,-127,2.04,1
710,84,2.04,1
711,105,2.04,1
712,135,2.04,1
713,-162,2.04,1
714,202,2.04,1
715,-138,2.04,1
716,199,2.04,1
717,-39,2.04,1
718,99,2.04,1
719,-84,2.04,1
720,114,2.04,1
721,-13,2.04,1
722,290,2.04,1
723,-92,2.04,1
724,118,2.04,1
725,-23,2.04,1
726,168,2.04,1
